words,frequency,Sentiment,Category
number,8,Negative,HEALTH_AND_FITNESS
expect,7,Negative,HEALTH_AND_FITNESS
times,7,Negative,HEALTH_AND_FITNESS
lately,7,Negative,HEALTH_AND_FITNESS
exercise,7,Negative,HEALTH_AND_FITNESS
recipes,7,Negative,HEALTH_AND_FITNESS
level,7,Negative,HEALTH_AND_FITNESS
problem,7,Negative,HEALTH_AND_FITNESS
stopped,7,Negative,HEALTH_AND_FITNESS
installed,7,Negative,HEALTH_AND_FITNESS
activities,7,Negative,HEALTH_AND_FITNESS
last,7,Negative,HEALTH_AND_FITNESS
single,7,Negative,HEALTH_AND_FITNESS
half,7,Negative,HEALTH_AND_FITNESS
full,7,Negative,HEALTH_AND_FITNESS
rated,7,Negative,HEALTH_AND_FITNESS
email,7,Negative,HEALTH_AND_FITNESS
meal,7,Negative,HEALTH_AND_FITNESS
long,7,Negative,HEALTH_AND_FITNESS
pretty,7,Negative,HEALTH_AND_FITNESS
add,7,Negative,HEALTH_AND_FITNESS
think,7,Negative,HEALTH_AND_FITNESS
horrible,7,Negative,HEALTH_AND_FITNESS
s9+,7,Negative,HEALTH_AND_FITNESS
wish,7,Negative,HEALTH_AND_FITNESS
year,7,Negative,HEALTH_AND_FITNESS
low,7,Negative,HEALTH_AND_FITNESS
telling,7,Negative,HEALTH_AND_FITNESS
goals,7,Negative,HEALTH_AND_FITNESS
manually,7,Negative,HEALTH_AND_FITNESS
simple,7,Negative,HEALTH_AND_FITNESS
entry,7,Negative,HEALTH_AND_FITNESS
meals,7,Negative,HEALTH_AND_FITNESS
come,7,Negative,HEALTH_AND_FITNESS
stupid,7,Negative,HEALTH_AND_FITNESS
like,28,Neutral,HEALTH_AND_FITNESS
work,22,Neutral,HEALTH_AND_FITNESS
can't,22,Neutral,HEALTH_AND_FITNESS
keeps,20,Neutral,HEALTH_AND_FITNESS
need,18,Neutral,HEALTH_AND_FITNESS
phone,15,Neutral,HEALTH_AND_FITNESS
food,15,Neutral,HEALTH_AND_FITNESS
helpful,14,Neutral,HEALTH_AND_FITNESS
tried,13,Neutral,HEALTH_AND_FITNESS
saying,13,Neutral,HEALTH_AND_FITNESS
want,12,Neutral,HEALTH_AND_FITNESS
workout,11,Neutral,HEALTH_AND_FITNESS
error,11,Neutral,HEALTH_AND_FITNESS
server,11,Neutral,HEALTH_AND_FITNESS
connect,11,Neutral,HEALTH_AND_FITNESS
fix,10,Neutral,HEALTH_AND_FITNESS
calorie,9,Neutral,HEALTH_AND_FITNESS
well,9,Neutral,HEALTH_AND_FITNESS
know,9,Neutral,HEALTH_AND_FITNESS
calories,8,Neutral,HEALTH_AND_FITNESS
time,8,Neutral,HEALTH_AND_FITNESS
keep,8,Neutral,HEALTH_AND_FITNESS
cancel,7,Neutral,HEALTH_AND_FITNESS
trying,7,Neutral,HEALTH_AND_FITNESS
every,7,Neutral,HEALTH_AND_FITNESS
used,7,Neutral,HEALTH_AND_FITNESS
never,7,Neutral,HEALTH_AND_FITNESS
would,7,Neutral,HEALTH_AND_FITNESS
day,7,Neutral,HEALTH_AND_FITNESS
working,7,Neutral,HEALTH_AND_FITNESS
weight,7,Neutral,HEALTH_AND_FITNESS
carbs,7,Neutral,HEALTH_AND_FITNESS
help,6,Neutral,HEALTH_AND_FITNESS
try,6,Neutral,HEALTH_AND_FITNESS
plan,6,Neutral,HEALTH_AND_FITNESS
set,6,Neutral,HEALTH_AND_FITNESS
start,6,Neutral,HEALTH_AND_FITNESS
spins,6,Neutral,HEALTH_AND_FITNESS
burn,6,Neutral,HEALTH_AND_FITNESS
times,6,Neutral,HEALTH_AND_FITNESS
